GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Per capita income in the past 12 months (in 2016 inflation-adjusted dollars),Margin of Error; Per capita income in the past 12 months (in 2016 inflation-adjusted dollars)
0400000US09,09,Connecticut,44515,314
0600000US0900100000,0900100000,"County subdivisions not defined, Fairfield County, Connecticut",-,**
0600000US0900104720,0900104720,"Bethel town, Fairfield County, Connecticut",45916,3954
0600000US0900108070,0900108070,"Bridgeport town, Fairfield County, Connecticut",25897,1299
0600000US0900108980,0900108980,"Brookfield town, Fairfield County, Connecticut",48411,3897
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",37607,1692
0600000US0900118850,0900118850,"Darien town, Fairfield County, Connecticut",105992,7529
0600000US0900123890,0900123890,"Easton town, Fairfield County, Connecticut",61009,5059
0600000US0900126620,0900126620,"Fairfield town, Fairfield County, Connecticut",63412,2525
0600000US0900133620,0900133620,"Greenwich town, Fairfield County, Connecticut",99859,4699
0600000US0900148620,0900148620,"Monroe town, Fairfield County, Connecticut",52356,3711
0600000US0900150580,0900150580,"New Canaan town, Fairfield County, Connecticut",117461,6735
0600000US0900150860,0900150860,"New Fairfield town, Fairfield County, Connecticut",47491,3466
0600000US0900152980,0900152980,"Newtown town, Fairfield County, Connecticut",51117,2526
0600000US0900156060,0900156060,"Norwalk town, Fairfield County, Connecticut",51372,2152
0600000US0900163480,0900163480,"Redding town, Fairfield County, Connecticut",64970,5113
0600000US0900163970,0900163970,"Ridgefield town, Fairfield County, Connecticut",78813,5334
0600000US0900168170,0900168170,"Shelton town, Fairfield County, Connecticut",44606,2476
0600000US0900168310,0900168310,"Sherman town, Fairfield County, Connecticut",67223,11481
0600000US0900173070,0900173070,"Stamford town, Fairfield County, Connecticut",61330,2352
0600000US0900174190,0900174190,"Stratford town, Fairfield County, Connecticut",38579,1904
0600000US0900177200,0900177200,"Trumbull town, Fairfield County, Connecticut",48426,2531
0600000US0900183430,0900183430,"Weston town, Fairfield County, Connecticut",93028,8208
0600000US0900183500,0900183500,"Westport town, Fairfield County, Connecticut",103451,6548
0600000US0900186370,0900186370,"Wilton town, Fairfield County, Connecticut",84308,6320
0600000US0900302060,0900302060,"Avon town, Hartford County, Connecticut",69502,5060
0600000US0900304300,0900304300,"Berlin town, Hartford County, Connecticut",44086,2501
0600000US0900305910,0900305910,"Bloomfield town, Hartford County, Connecticut",58210,7854
0600000US0900308490,0900308490,"Bristol town, Hartford County, Connecticut",33951,1431
0600000US0900310100,0900310100,"Burlington town, Hartford County, Connecticut",50589,3667
0600000US0900312270,0900312270,"Canton town, Hartford County, Connecticut",50094,5393
0600000US0900322070,0900322070,"East Granby town, Hartford County, Connecticut",42374,3666
0600000US0900322630,0900322630,"East Hartford town, Hartford County, Connecticut",29914,1373
0600000US0900324800,0900324800,"East Windsor town, Hartford County, Connecticut",37324,3212
0600000US0900325990,0900325990,"Enfield town, Hartford County, Connecticut",34078,1265
0600000US0900327600,0900327600,"Farmington town, Hartford County, Connecticut",55659,2941
0600000US0900331240,0900331240,"Glastonbury town, Hartford County, Connecticut",59644,3392
0600000US0900332640,0900332640,"Granby town, Hartford County, Connecticut",51219,3976
0600000US0900337070,0900337070,"Hartford town, Hartford County, Connecticut",21654,1198
0600000US0900337140,0900337140,"Hartland town, Hartford County, Connecticut",40089,3224
0600000US0900344700,0900344700,"Manchester town, Hartford County, Connecticut",37918,1488
0600000US0900345820,0900345820,"Marlborough town, Hartford County, Connecticut",45127,7279
0600000US0900350440,0900350440,"New Britain town, Hartford County, Connecticut",24272,1110
0600000US0900352140,0900352140,"Newington town, Hartford County, Connecticut",40221,1380
0600000US0900360120,0900360120,"Plainville town, Hartford County, Connecticut",33445,2240
0600000US0900365370,0900365370,"Rocky Hill town, Hartford County, Connecticut",47447,2927
0600000US0900368940,0900368940,"Simsbury town, Hartford County, Connecticut",56042,2563
0600000US0900370550,0900370550,"Southington town, Hartford County, Connecticut",41177,1443
0600000US0900371390,0900371390,"South Windsor town, Hartford County, Connecticut",48312,3212
0600000US0900374540,0900374540,"Suffield town, Hartford County, Connecticut",47005,4304
0600000US0900382590,0900382590,"West Hartford town, Hartford County, Connecticut",56417,1990
0600000US0900384900,0900384900,"Wethersfield town, Hartford County, Connecticut",40857,1696
0600000US0900387000,0900387000,"Windsor town, Hartford County, Connecticut",45251,2490
0600000US0900387070,0900387070,"Windsor Locks town, Hartford County, Connecticut",38844,4583
0600000US0900502760,0900502760,"Barkhamsted town, Litchfield County, Connecticut",41605,3809
0600000US0900504930,0900504930,"Bethlehem town, Litchfield County, Connecticut",44300,6793
0600000US0900508210,0900508210,"Bridgewater town, Litchfield County, Connecticut",64571,7146
0600000US0900510940,0900510940,"Canaan town, Litchfield County, Connecticut",45524,7227
0600000US0900516050,0900516050,"Colebrook town, Litchfield County, Connecticut",34690,3255
0600000US0900517240,0900517240,"Cornwall town, Litchfield County, Connecticut",49821,6991
0600000US0900532290,0900532290,"Goshen town, Litchfield County, Connecticut",39697,5197
0600000US0900537280,0900537280,"Harwinton town, Litchfield County, Connecticut",43475,4743
0600000US0900540290,0900540290,"Kent town, Litchfield County, Connecticut",42772,8236
0600000US0900543370,0900543370,"Litchfield town, Litchfield County, Connecticut",46147,4971
0600000US0900549460,0900549460,"Morris town, Litchfield County, Connecticut",47707,8296
0600000US0900551350,0900551350,"New Hartford town, Litchfield County, Connecticut",38329,2794
0600000US0900552630,0900552630,"New Milford town, Litchfield County, Connecticut",39532,1811
0600000US0900553470,0900553470,"Norfolk town, Litchfield County, Connecticut",47201,5599
0600000US0900554030,0900554030,"North Canaan town, Litchfield County, Connecticut",31943,3264
